"ID","Player","Team","Position","RkOv","Status","Age","Opponent","Salary","Contract","FPts","FP/G","%D","ADP","Ros"
"*03wha*","Ronald Acuna Jr.","ATL","OF","1","JOHN","26","@PHI Thu 12:05PM","78.00","2029","670.5","4.59","100%","1","97%"
"*05mre*","Spencer Strider","ATL","SP","2","FA","25","@PHI Thu 12:05PM","11.00","2023","620.5","19.39","100%","6.72","97%"
"*02btf*","Mookie Betts","LAD","2B,OF","3","NASER","31","STL Thu 1:10PM","35.00","2025","617.5","4.23","100%","5.86","96%"
"*01cgo*","Freddie Freeman","LAD","1B","4","KYLE","34","STL Thu 1:10PM","27.00","2025","610","3.94","100%","11.1","96%"
"*03pir*","Kyle Tucker","HOU","OF","5","MURPH","26","NYY Thu 1:00AM","62.00","2028","605","3.78","100%","9.98","96%"
"*01spo*","Gerrit Cole","NYY","SP","6","TONY","33","@HOU Thu 1:00AM","35.00","2025","597","18.09","100%","10.65","97%"
"*03ynj*","Juan Soto","NYY","OF","7","NASER","25","@HOU Thu 1:00AM","121.00","2031","593.5","3.9","100%","9.11","97%"
"*01ub6*","Jose Ramirez","CLE","3B","8","TONY","31","@OAK Thu 7:07PM","43.00","2026","593","3.73","100%","17.27","97%"
"*02mwm*","Matt Olson","ATL","1B","9","LANG","29","@PHI Thu 12:05PM","41.00","2026","581.5","3.7","100%","12.56","96%"
"*02hi7*","Kevin Gausman","TOR","SP","10","FA","32","@TB Thu 1:10PM","11.00","2023","562.5","18.15","100%","25.57","97%"
"*041rd*","Corbin Burnes","MIL","SP","11","TED","29","@NYM Thu 10:10AM","35.00","2025","562","17.56","100%","24.76","97%"
"*04y4e*","Corbin Carroll","ARI","OF","12","MDS","23","COL Thu 1:00AM","22.00","2025","558","3.7","100%","3.96","97%"
"*01sb3*","Zack Wheeler","PHI","SP","13","TONY","33","ATL Thu 12:05PM","25.00","2024","545","17.03","100%","27.89","97%"
"*041qo*","Zac Gallen","ARI","SP","14","TED","28","COL Thu 1:00AM","19.00","2024","544","17","100%","26.18","97%"
"*03dbm*","Logan Webb","SF","SP","15","TED","27","@SD Thu 1:10PM","31.00","2025","541.5","16.92","100%","36.72","96%"
"*04fhb*","Julio Rodriguez","SEA","OF","16","MDS","22","BOS Thu 7:10PM","76.00","2029","539.5","3.46","100%","2.73","97%"
